	0
0	CC00576XX16
0	CC00672BN13
2	CC00407BN11
5	CC00723XX14
7	CC00618XX16
8	CC00136AN13
10	CC00712XX11
10	CC00135AN12
11	CC00845BN21
11	CC00218AN12
11	CC00621XX11
13	CC00518XX15
14	CC00686XX19
15	CC00284BN13
15	CC00301XX04
15	CC00326XX13
15	CC00529AN18
16	CC00135BN12
17	CC00829XX21
17	CC00406XX10
18	CC00489XX20
30	CC00657XX14
30	CC00245AN15
31	CC00845AN21
33	CC00648XX22
35	CC00517XX14
36	CC00838XX22
36	CC00688XX21
36	CC00284AN13
37	CC00823XX15
38	CC00389XX19
40	CC00569XX17
41	CC00152AN04
41	CC00672AN13
42	CC00797XX23
43	CC00792XX18
43	CC00418AN14
44	CC00600XX06
44	CC00418BN14
45	CC00628XX18
45	CC00689XX22
45	CC00385XX15
45	CC00361XX07
46	CC00529BN18
46	CC00770XX12
47	CC00395XX17
47	CC00617XX15
47	CC00191XX11
